,name,word,start_x,end_x,sex,age,principal_residence,vowel,path,start_y,mid,end_y,consonant,status,mid_vowel,ratio
260,SDRW2100000332.1.1.192.wav,리나,6400.0,11520.0,여성,20대,서울,ㄹㅣㄴ,/home/hyohyeongjang/phonology/ri/SDRW2100000332.1.1.192.wav,489.0,621.0,667.0,R,cute!,ㅣ,0.742
262,SDRW2100000366.1.1.42.wav,리가,36480.0,39360.0,여성,20대,서울,ㄹㅣㄱ,/home/hyohyeongjang/phonology/ri/SDRW2100000366.1.1.42.wav,566.0,639.0,684.0,R,cute!,ㅣ,0.619
264,SDRW2100000377.1.1.4.wav,리스트가,11520.0,19200.0,여성,20대,서울,ㄹㅣㅅ,/home/hyohyeongjang/phonology/ri/SDRW2100000377.1.1.4.wav,563.0,682.0,756.0,R,cute!,ㅣ,0.617
265,SDRW2100000377.1.1.8.wav,리스트업,32320.0,40320.0,여성,20대,서울,ㄹㅣㅅ,/home/hyohyeongjang/phonology/ri/SDRW2100000377.1.1.8.wav,498.0,618.0,680.0,R,cute!,ㅣ,0.659
266,SDRW2100000377.1.1.95.wav,리메이크,0.0,10880.0,여성,20대,서울,ㄹㅣㅁ,/home/hyohyeongjang/phonology/ri/SDRW2100000377.1.1.95.wav,2.0,434.0,491.0,R,cute!,ㅣ,0.883
267,SDRW2100000390.1.1.361.wav,리서치,2560.0,10240.0,여성,20대,경기,ㄹㅣㅅ,/home/hyohyeongjang/phonology/ri/SDRW2100000390.1.1.361.wav,138.0,367.0,383.0,R,cute!,ㅣ,0.935
268,SDRW2100000404.1.1.193.wav,리무진,0.0,11520.0,여성,20대,서울,ㄹㅣㅁ,/home/hyohyeongjang/phonology/ri/SDRW2100000404.1.1.193.wav,0.0,439.0,522.0,R,cute!,ㅣ,0.841
271,SDRW2100000425.1.1.120.wav,류수정인가,23360.0,42240.0,여성,20대,경기,ㄹㅠㅅ,/home/hyohyeongjang/phonology/ri/SDRW2100000425.1.1.120.wav,333.0,848.0,924.0,R,cute!,ㅠ,0.871
272,SDRW2100000425.1.1.132.wav,류수정,0.0,17280.0,여성,20대,서울,ㄹㅠㅅ,/home/hyohyeongjang/phonology/ri/SDRW2100000425.1.1.132.wav,1.0,712.0,816.0,R,cute!,ㅠ,0.872
273,SDRW2100000427.1.1.5.wav,리메이크,0.0,11200.0,여성,20대,서울,ㄹㅣㅁ,/home/hyohyeongjang/phonology/ri/SDRW2100000427.1.1.5.wav,0.0,384.0,476.0,R,cute!,ㅣ,0.807
