,name,word,start_x,end_x,sex,age,principal_residence,vowel,path,start_y,mid,end_y,consonant,status,mid_vowel,ratio
777,SDRW2100004149.1.1.275.wav,뉴스라는,28160.0,33600.0,여성,20대,서울,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100004149.1.1.275.wav,570.0,615.0,612.0,N,cute!,ㅠ,1.071
780,SDRW2100004149.1.1.40.wav,뉴스라고,19200.0,31680.0,여성,20대,서울,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100004149.1.1.40.wav,577.0,672.0,718.0,N,cute!,ㅠ,0.674
798,SDRW2100004155.1.1.351.wav,니트나,8000.0,16000.0,여성,20대,서울,ㄴㅣㅌ,/home/hyohyeongjang/phonology/ni/SDRW2100004155.1.1.351.wav,559.0,684.0,771.0,N,cute!,ㅣ,0.59
800,SDRW2100004155.1.1.54.wav,니트,15680.0,21440.0,여성,20대,서울,ㄴㅣㅌ,/home/hyohyeongjang/phonology/ni/SDRW2100004155.1.1.54.wav,572.0,720.0,815.0,N,cute!,ㅣ,0.609
801,SDRW2100004155.1.1.75.wav,니트나,8640.0,23040.0,여성,20대,서울,ㄴㅣㅌ,/home/hyohyeongjang/phonology/ni/SDRW2100004155.1.1.75.wav,563.0,885.0,982.0,N,cute!,ㅣ,0.768
802,SDRW2100004156.1.1.1.wav,뉴스에,17920.0,25600.0,여성,20대,서울,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100004156.1.1.1.wav,524.0,630.0,666.0,N,cute!,ㅠ,0.746
803,SDRW2100004156.1.1.153.wav,뉴스,8320.0,11200.0,여성,20대,서울,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100004156.1.1.153.wav,475.0,615.0,674.0,N,cute!,ㅠ,0.704
804,SDRW2100004156.1.1.21.wav,뉴스고,30080.0,37120.0,여성,20대,서울,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100004156.1.1.21.wav,484.0,583.0,635.0,N,cute!,ㅠ,0.656
806,SDRW2100004156.1.1.68.wav,뉴스를,5440.0,11200.0,여성,20대,서울,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100004156.1.1.68.wav,341.0,445.0,489.0,N,cute!,ㅠ,0.703
807,SDRW2100004156.1.1.69.wav,뉴스에,64000.0,70400.0,여성,20대,서울,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100004156.1.1.69.wav,491.0,602.0,639.0,N,cute!,ㅠ,0.75
808,SDRW2100004156.1.1.99.wav,뉴스든,8640.0,15040.0,여성,20대,서울,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100004156.1.1.99.wav,553.0,633.0,642.0,N,cute!,ㅠ,0.899
