,name,word,token,start_x,end_x,sex,age,principal_residence,vowel,path,start_y,mid,end_y,consonant,status,mid_vowel,ratio
717,SDRW2100004000.1.1.61.wav,뉴스로,뉴스,16640,24640,여성,20대,경기,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100004000.1.1.61.wav,591,694,784,N,cute!,ㅠ,0.534
650,SDRW2100003834.1.1.73.wav,뉴스로만,뉴스,55680,70400,여성,20대,서울,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100003834.1.1.73.wav,0,84,157,N,cute!,ㅠ,0.535
652,SDRW2100003834.1.1.73.wav,뉴스로만,뉴스,55680,70400,여성,20대,서울,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100003834.1.1.73.wav,711,838,903,N,cute!,ㅠ,0.661
31,SDRW2000000442.1.1.6.wav,뉴스를,뉴스,0,6400,여성,20대,서울,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2000000442.1.1.6.wav,6,154,203,N,cute!,ㅠ,0.751
193,SDRW2100000495.1.1.164.wav,뉴스를,뉴스,27200,34560,남성,20대,서울,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100000495.1.1.164.wav,511,697,749,N,cute!,ㅠ,0.782
207,SDRW2100000781.1.1.1.wav,뉴스를,뉴스,10880,20480,남성,20대,서울,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100000781.1.1.1.wav,485,771,837,N,cute!,ㅠ,0.812
642,SDRW2100003834.1.1.113.wav,뉴스를,뉴스,13760,19840,여성,20대,서울,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100003834.1.1.113.wav,535,643,643,N,cute!,ㅠ,1
644,SDRW2100003834.1.1.161.wav,뉴스를,뉴스,30720,38400,여성,20대,서울,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100003834.1.1.161.wav,592,613,613,N,cute!,ㅠ,1
646,SDRW2100003834.1.1.165.wav,뉴스를,뉴스,0,7680,여성,20대,서울,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100003834.1.1.165.wav,0,186,238,N,cute!,ㅠ,0.782
667,SDRW2100003842.1.1.70.wav,뉴스를,뉴스,14400,20480,남성,20대,경기,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100003842.1.1.70.wav,515,571,690,N,cute!,ㅠ,0.32
712,SDRW2100003996.1.1.204.wav,뉴스를,뉴스,42240,48000,여성,20대,경기,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100003996.1.1.204.wav,504,607,635,N,cute!,ㅠ,0.786
713,SDRW2100003996.1.1.210.wav,뉴스를,뉴스,36800,43520,여성,20대,경기,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100003996.1.1.210.wav,561,653,700,N,cute!,ㅠ,0.662
727,SDRW2100004037.1.1.22.wav,뉴스를,뉴스,15040,28800,여성,20대,서울,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100004037.1.1.22.wav,537,1037,1132,N,cute!,ㅠ,0.84
806,SDRW2100004156.1.1.68.wav,뉴스를,뉴스,5440,11200,여성,20대,서울,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100004156.1.1.68.wav,341,445,489,N,cute!,ㅠ,0.703
109,SDRW2000001513.1.1.136.wav,뉴스에,뉴스,0,8000,여성,20대,경기,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2000001513.1.1.136.wav,4,4,88,N,cute!,ㅠ,0
648,SDRW2100003834.1.1.187.wav,뉴스에,뉴스,1920,13760,여성,20대,서울,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100003834.1.1.187.wav,137,234,303,N,cute!,ㅠ,0.584
655,SDRW2100003842.1.1.1.wav,뉴스에,뉴스,13760,20160,남성,20대,경기,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100003842.1.1.1.wav,497,598,692,N,cute!,ㅠ,0.518
802,SDRW2100004156.1.1.1.wav,뉴스에,뉴스,17920,25600,여성,20대,서울,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100004156.1.1.1.wav,524,630,666,N,cute!,ㅠ,0.746
807,SDRW2100004156.1.1.69.wav,뉴스에,뉴스,64000,70400,여성,20대,서울,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100004156.1.1.69.wav,491,602,639,N,cute!,ㅠ,0.75
1220,SDRW2200002612.1.1.266.wav,뉴스에도,뉴스,7360,17280,여성,20대,서울,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2200002612.1.1.266.wav,456,679,727,N,cute!,ㅠ,0.823
553,SDRW2100003437.1.1.81.wav,뉴스에서,뉴스,34880,43840,여성,20대,서울,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100003437.1.1.81.wav,580,627,708,N,cute!,ㅠ,0.367
773,SDRW2100004149.1.1.18.wav,뉴스이다,뉴스,4800,12160,여성,20대,서울,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2100004149.1.1.18.wav,309,393,425,N,cute!,ㅠ,0.724
161,SDRW2100000094.1.1.57.wav,뉴욕,뉴욕,56000,65600,여성,20대,서울,ㄴㅠㅛ,/home/hyohyeongjang/phonology/ni/SDRW2100000094.1.1.57.wav,882,923,946,N,cute!,ㅠ,0.641
199,SDRW2100000658.1.1.316.wav,뉴욕,뉴욕,6080,12800,남성,20대,경기,ㄴㅠㅛ,/home/hyohyeongjang/phonology/ni/SDRW2100000658.1.1.316.wav,385,615,687,N,cute!,ㅠ,0.762
139,SDRW2000001966.1.1.82.wav,뉴욕에,뉴욕,0,6720,여성,20대,서울,ㄴㅠㅛ,/home/hyohyeongjang/phonology/ni/SDRW2000001966.1.1.82.wav,0,155,180,N,cute!,ㅠ,0.861
15,SDRW2000000275.1.1.107.wav,뉴욕에서,뉴욕,0,21120,남성,20대,서울,ㄴㅠㅛ,/home/hyohyeongjang/phonology/ni/SDRW2000000275.1.1.107.wav,791,941,1045,N,cute!,ㅠ,0.591
