,name,word,token,start_x,end_x,sex,age,principal_residence,vowel,path,start_y,mid,end_y,consonant,status,mid_vowel,ratio
1044,SDRW2200000904.1.1.73.wav,리도,리도,41280,45440,여성,20대,경기,ㄹㅣㄷ,/home/hyohyeongjang/phonology/ri/SDRW2200000904.1.1.73.wav,558,637,642,R,cute!,ㅣ,0.94
282,SDRW2100000453.1.1.308.wav,리드,리드,0,10240,여성,20대,서울,ㄹㅣㄷ,/home/hyohyeongjang/phonology/ri/SDRW2100000453.1.1.308.wav,121,496,594,R,cute!,ㅣ,0.793
348,SDRW2100000733.1.1.192.wav,리드미컬하게,리드미컬,0,14720,남성,20대,서울,ㄹㅣㄷ,/home/hyohyeongjang/phonology/ri/SDRW2100000733.1.1.192.wav,0,344,423,R,cute!,ㅣ,0.813
554,SDRW2100001950.1.1.203.wav,리드클라이밍,리드클라이밍,3520,22400,남성,20대,경기,ㄹㅣㄷ,/home/hyohyeongjang/phonology/ri/SDRW2100001950.1.1.203.wav,343,769,832,R,cute!,ㅣ,0.871
686,SDRW2100003809.1.1.387.wav,리듬,리듬,33600,40320,여성,20대,경기,ㄹㅣㄷ,/home/hyohyeongjang/phonology/ri/SDRW2100003809.1.1.387.wav,605,757,802,R,cute!,ㅣ,0.772
997,SDRW2200000699.1.1.241.wav,리듬,리듬,0,7360,남성,20대,서울,ㄹㅣㄷ,/home/hyohyeongjang/phonology/ri/SDRW2200000699.1.1.241.wav,0,204,298,R,cute!,ㅣ,0.685
1312,SDRW2200002451.1.1.216.wav,리듬,리듬,36480,43520,남성,20대,서울,ㄹㅣㄷ,/home/hyohyeongjang/phonology/ri/SDRW2200002451.1.1.216.wav,320,754,809,R,cute!,ㅣ,0.888
1348,SDRW2200002589.1.1.287.wav,리듬,리듬,3520,10240,여성,20대,서울,ㄹㅣㄷ,/home/hyohyeongjang/phonology/ri/SDRW2200002589.1.1.287.wav,314,415,444,R,cute!,ㅣ,0.777
775,SDRW2100004225.1.1.42.wav,리듬감,리듬,4160,16640,남성,20대,경기,ㄹㅣㄷ,/home/hyohyeongjang/phonology/ri/SDRW2100004225.1.1.42.wav,126,737,800,R,cute!,ㅣ,0.907
516,SDRW2100001649.1.1.46.wav,리듬감이,리듬,32320,40000,남성,20대,경기,ㄹㅣㄷ,/home/hyohyeongjang/phonology/ri/SDRW2100001649.1.1.46.wav,163,443,501,R,cute!,ㅣ,0.828
515,SDRW2100001649.1.1.46.wav,리듬감이라고,리듬,14400,22080,남성,20대,경기,ㄹㅣㄷ,/home/hyohyeongjang/phonology/ri/SDRW2100001649.1.1.46.wav,163,443,501,R,cute!,ㅣ,0.828
612,SDRW2100003427.1.1.213.wav,리마인드,리마인드,0,8320,여성,20대,서울,ㄹㅣㅁ,/home/hyohyeongjang/phonology/ri/SDRW2100003427.1.1.213.wav,0,219,258,R,cute!,ㅣ,0.849
266,SDRW2100000377.1.1.95.wav,리메이크,리메이크,0,10880,여성,20대,서울,ㄹㅣㅁ,/home/hyohyeongjang/phonology/ri/SDRW2100000377.1.1.95.wav,2,434,491,R,cute!,ㅣ,0.883
273,SDRW2100000427.1.1.5.wav,리메이크,리메이크,0,11200,여성,20대,서울,ㄹㅣㅁ,/home/hyohyeongjang/phonology/ri/SDRW2100000427.1.1.5.wav,0,384,476,R,cute!,ㅣ,0.807
274,SDRW2100000427.1.1.95.wav,리메이크,리메이크,0,6720,여성,20대,서울,ㄹㅣㅁ,/home/hyohyeongjang/phonology/ri/SDRW2100000427.1.1.95.wav,0,168,191,R,cute!,ㅣ,0.88
281,SDRW2100000445.1.1.287.wav,리메이크,리메이크,5120,10880,남성,20대,경기,ㄹㅣㅁ,/home/hyohyeongjang/phonology/ri/SDRW2100000445.1.1.287.wav,128,421,489,R,cute!,ㅣ,0.812
741,SDRW2100003995.1.1.152.wav,리메이크,리메이크,21760,30080,여성,20대,경기,ㄹㅣㅁ,/home/hyohyeongjang/phonology/ri/SDRW2100003995.1.1.152.wav,497,737,798,R,cute!,ㅣ,0.797
773,SDRW2100004214.1.1.267.wav,리메이크,리메이크,2240,13120,남성,20대,경기,ㄹㅣㅁ,/home/hyohyeongjang/phonology/ri/SDRW2100004214.1.1.267.wav,285,570,602,R,cute!,ㅣ,0.899
774,SDRW2100004214.1.1.271.wav,리메이크,리메이크,8320,16960,여성,20대,경기,ㄹㅣㅁ,/home/hyohyeongjang/phonology/ri/SDRW2100004214.1.1.271.wav,433,799,841,R,cute!,ㅣ,0.897
964,SDRW2200000612.1.1.198.wav,리메이크,리메이크,0,12480,여성,20대,서울,ㄹㅣㅁ,/home/hyohyeongjang/phonology/ri/SDRW2200000612.1.1.198.wav,14,421,508,R,cute!,ㅣ,0.824
506,SDRW2100001519.1.1.276.wav,리메이크인,리메이크,31680,42880,여성,20대,경기,ㄹㅣㅁ,/home/hyohyeongjang/phonology/ri/SDRW2100001519.1.1.276.wav,648,756,810,R,cute!,ㅣ,0.667
772,SDRW2100004214.1.1.238.wav,리메이크한,리메이크,18880,27840,남성,20대,경기,ㄹㅣㅁ,/home/hyohyeongjang/phonology/ri/SDRW2100004214.1.1.238.wav,355,577,630,R,cute!,ㅣ,0.807
556,SDRW2100001965.1.1.284.wav,리메이크해서,리메이크,0,16320,남성,20대,경기,ㄹㅣㅁ,/home/hyohyeongjang/phonology/ri/SDRW2100001965.1.1.284.wav,0,158,226,R,cute!,ㅣ,0.699
1350,SDRW2200002590.1.1.37.wav,리메이크해서,리메이크,18240,29760,남성,20대,서울,ㄹㅣㅁ,/home/hyohyeongjang/phonology/ri/SDRW2200002590.1.1.37.wav,644,747,828,R,cute!,ㅣ,0.56
233,SDRW2100000116.1.1.236.wav,리모델링,리모델링,4160,15680,여성,20대,서울,ㄹㅣㅁ,/home/hyohyeongjang/phonology/ri/SDRW2100000116.1.1.236.wav,281,900,983,R,cute!,ㅣ,0.882
333,SDRW2100000655.1.1.180.wav,리모델링,리모델링,6080,10560,남성,20대,경기,ㄹㅣㅁ,/home/hyohyeongjang/phonology/ri/SDRW2100000655.1.1.180.wav,0,263,320,R,cute!,ㅣ,0.822
