id,sex,age,principal_residence
SD2000352,여성,20대,경기
SD2000353,여성,20대,대전
SD2000354,여성,30대,대전
SD2000355,여성,20대,경기
SD2000354,여성,30대,대전
SD2000355,여성,20대,경기
SD2002377,남성,10대,부산
SD2002380,남성,10대,부산
SD2000358,남성,20대,경북
SD2000359,여성,30대,대구
SD2002401,여성,10대,경기
SD2002402,여성,10대,경기
SD2002189,여성,10대,경기
SD2002190,여성,10대,경기
SD2002411,여성,10대,경기
SD2002412,여성,10대,서울
SD2000365,여성,20대,부산
SD2000366,남성,20대,경남
SD2002415,여성,10대,제주
SD2002416,여성,10대,제주
SD2000367,남성,30대,부산
SD2000368,남성,30대,부산
SD2002381,여성,10대,경기
SD2002382,여성,10대,서울
SD2000369,남성,30대,서울
SD2000370,여성,20대,광주
SD2000371,여성,20대,전남
SD2000372,여성,40대,광주
SD2000373,여성,20대,전남
SD2000371,여성,20대,전남
SD2000374,여성,20대,인천
SD2000375,여성,20대,경기
SD2000374,여성,20대,인천
SD2000375,여성,20대,경기
SD2000376,여성,30대,제주
SD2000377,남성,30대,서울
SD2000378,남성,30대,서울
SD2000377,남성,30대,서울
SD2000379,여성,20대,제주
SD2000380,여성,20대,제주
SD2000381,여성,30대,강원
SD2000382,여성,20대,제주
SD2000383,여성,20대,서울
SD2000384,남성,60대,서울
SD2000385,남성,30대,서울
SD2000386,여성,20대,서울
SD2000387,남성,20대,경기
SD2000388,여성,20대,경기
SD2000389,남성,20대,서울
SD2000390,남성,20대,서울
SD2000389,남성,20대,서울
SD2000390,남성,20대,서울
SD2000391,여성,30대,경기
SD2000392,여성,50대,전남
SD2000395,여성,20대,대전
SD2000396,여성,20대,대전
SD2000397,여성,20대,울산
SD2000398,여성,20대,경기
SD2000397,여성,20대,울산
SD2000398,여성,20대,경기
SD2000399,남성,30대,대구
SD2000400,남성,20대,대구
SD2000399,남성,30대,대구
SD2000400,남성,20대,대구
SD2000401,여성,20대,대구
SD2000402,여성,30대,대구
SD2000401,여성,20대,대구
SD2000402,여성,30대,대구
SD2000403,여성,20대,부산
SD2000405,남성,20대,부산
SD2000404,여성,20대,부산
SD2000405,남성,20대,부산
SD2000406,남성,20대,광주
SD2000407,남성,20대,광주
SD2000409,여성,20대,광주
SD2000410,남성,20대,광주
SD2000409,여성,20대,광주
SD2000411,여성,20대,경북
SD2000412,여성,20대,광주
SD2000413,남성,20대,광주
SD2000412,여성,20대,광주
SD2000413,남성,20대,광주
SD2000416,여성,20대,강원
SD2000417,여성,20대,강원
SD2000418,남성,20대,경기
SD2000419,남성,20대,경기
SD2000418,남성,20대,경기
SD2000419,남성,20대,경기
SD2000420,여성,20대,제주
SD2000421,여성,20대,제주
SD2000420,여성,20대,제주
SD2000421,여성,20대,제주
SD2001963,남성,20대,경기
SD2002362,여성,40대,경기
SD2000424,남성,20대,서울
SD2000425,남성,30대,충남
SD2000426,남성,20대,서울
SD2000427,여성,20대,전남
SD2001767,여성,50대,대구
SD2002399,남성,60대,대구
SD2000428,남성,30대,경북
SD2000429,여성,10대,인천
SD2000430,여성,20대,경기
SD2000431,여성,20대,서울
SD2000432,여성,20대,경남
SD2000433,여성,20대,경기
SD2000432,여성,20대,경남
SD2000433,여성,20대,경기
SD2000434,남성,30대,경기
SD2000435,여성,20대,울산
SD2000434,남성,30대,경기
SD2000436,여성,20대,서울
SD2000437,여성,30대,대전
SD2000438,남성,20대,대전
SD2000437,여성,30대,대전
SD2000438,남성,20대,대전
SD2000439,여성,20대,충남
SD2000440,여성,20대,충남
SD2000439,여성,20대,충남
SD2000440,여성,20대,충남
SD2001664,여성,20대,대구
SD2001665,여성,20대,경북
SD2002124,남성,20대,강원
SD2001519,여성,20대,부산
SD2000443,여성,20대,부산
SD2000444,여성,20대,부산
SD2001645,여성,10대,인천
SD2001646,여성,10대,인천
SD2000446,여성,20대,광주
SD2000447,여성,30대,전남
SD2000448,남성,20대,전남
SD2000449,남성,30대,광주
SD2000448,남성,20대,전남
SD2000450,남성,20대,광주
SD2000451,남성,20대,강원
SD2000452,남성,20대,강원
SD2000453,여성,10대,제주
SD2000454,여성,20대,제주
SD2000453,여성,10대,제주
SD2000455,여성,30대,서울
SD2000454,여성,20대,제주
SD2000455,여성,30대,서울
SD2000456,여성,10대,제주
SD2000457,여성,10대,제주
SD2000458,여성,20대,서울
SD2000459,여성,30대,경기
SD2000458,여성,20대,서울
SD2000460,여성,40대,서울
