folder,id,form,original_form,speaker_id,start,end,note
SDRW2100003022,SDRW2100003022.1.1.117,뉴스에도 나오고 인터넷에도 많이 그때 한번 떴었거든.,뉴스에도 나오고 인터넷에도 많이 그때 한번 떴었거든.,SD2103012,308.075,311.139,
SDRW2100003022,SDRW2100003022.1.1.301,뉴스로만 접할 수 있거든.,뉴스로만 접할 수 있거든.,SD2103012,800.18899,801.99901,
SDRW2100003022,SDRW2100003022.1.1.304,그래서 뉴스에서 항상 보도 할 때 보면은,그래서 뉴스에서 항상 보도 할 때 보면은,SD2103012,806.47898,809.18273,
SDRW2100003024,SDRW2100003024.1.1.27,그러니까 계속 콘텐츠가 바뀌고 사람들의 니즈가 변하다 보니까,그까 계속 컨텐츠가 바뀌고 사람들의 니즈가 변하다 보니까,SD2103011,69.16167,72.65,
SDRW2100003028,SDRW2100003028.1.1.243,이제 그게 뭐 뉴스로 연결 되는데 뭐,이제 그게 뭐 뉴스로 연결 되는데 뭐,SD2103013,589.45649,591.68449,
SDRW2100003028,SDRW2100003028.1.1.339,그래서 그런 걸 틀어 놓으면은 내가 뉴스를 아무 때나 볼 수 있는데,그래서 그런 걸 틀어 놓으면은 내가 뉴스를 아무 때나 볼 수 있는데,SD2103014,808.235,812.03913,
SDRW2100003033,SDRW2100003033.1.1.5,니트,니트,SD2103017,7.724,8.45,
SDRW2100003033,SDRW2100003033.1.1.8,니트가,니트가,SD2103017,15.12159,16.369,
SDRW2100003033,SDRW2100003033.1.1.15,뭐 아가일 니치 이런 거?,뭐 아가일 니치 이런 거?,SD2103018,33.85,35.46,
SDRW2100003033,SDRW2100003033.1.1.20,아니지 긴팔 니트도 있는데,아니지 긴팔 니트도 있는데,SD2103018,44.56,46.5,
SDRW2100003033,SDRW2100003033.1.1.23,나는 무늬 있는 니트가 그냥 니트를 잘 안 입는달까,나는 무늬 있는 니트가 그냥 니트를 잘 안 입는달까,SD2103018,50.478,53.76,
SDRW2100003039,SDRW2100003039.1.1.152,뉴질랜드에 있는 애도 있고,뉴질랜드에 있는 얘도 있고,SD2103019,401.05901,402.959,
SDRW2100003050,SDRW2100003050.1.1.129,인터뷰한 뉴스도 봐간 보이더라고.,인터뷰한 뉴스도 봐간 보이더라고.,SD2103026,369.123,371.81605,
SDRW2100003050,SDRW2100003050.1.1.185,뉴스를 보니깐 이제 철도 회사나 버스 회사들이,뉴스를 보니깐 이제 철도 회사나 뻐쓰 회사들이,SD2103026,525.68,529.006,
SDRW2100003050,SDRW2100003050.1.1.303,뉴스에 보니깐,뉴스에 보니깐,SD2103026,850.09899,851.54902,
SDRW2100003050,SDRW2100003050.1.1.309,그 뉴스 처음 봤을 때 되게 놀랐어 나는.,거 뉴스 처음 봤을 때 되게 놀랐어 나는.,SD2103026,861.414,864.14,
SDRW2100003050,SDRW2100003050.1.1.320,그 뉴스 보니깐,그 뉴스 보니깐,SD2103026,891.33898,892.831,
SDRW2100003068,SDRW2100003068.1.1.230,나도 뉴욕 타임스퀘어 가 가지고 사람들이랑 같이,나도 뉴욕 타임스퀘어 가 가지고 사람들이랑 같이,SD2103034,883.41144,888.415,
SDRW2100003076,SDRW2100003076.1.1.40,해서 약간 뉴스를 봤는데.,해서 약간 뉴스를 봤는데.,SD2113037,108.08,110.349,
SDRW2100003078,SDRW2100003078.1.1.209,뉴스에서,뉴스에서,SD2103040,771.27504,772.68,
SDRW2100003087,SDRW2100003087.1.1.220,어. 맞아. 요즘에 또 제일 핫한 부분이 인제 뉴캐슬이 인제 또 중동 자본,어. 맞아. 요즘에 또 제일 핫한 부분이 인제 뉴캐슬이 인제 또 중동 자본,SD2103044,862.71,868.63,
SDRW2100003089,SDRW2100003089.1.1.242,뉴에이지나,뉴에이지나,SD2103046,550.1921,551.78901,
SDRW2100003089,SDRW2100003089.1.1.247,뉴에이지랑 클래식,뉴에이지랑 클래식,SD2103045,565.96805,568.60902,
SDRW2100003095,SDRW2100003095.1.1.82,아 니 최애 과일은 그럼 딸기였나?,아 니 최애 과일은 그럼 딸기였나?,SD2103047,197.6,200.53,
SDRW2100003096,SDRW2100003096.1.1.120,가짜 뉴스를 잡는다 그러잖아.,가짜 뉴스를 잡는다 그러잖아.,SD2103047,317.335,319.731,
SDRW2100003096,SDRW2100003096.1.1.121,근데 가짜 뉴스를 잡듯이,근데 가짜 뉴스를 잡듯이,SD2103047,319.731,321.79498,
SDRW2100003098,SDRW2100003098.1.1.37,엄마는 솔직히 니가 젊었을 때,엄마는 솔직히 니가 젊었을 때,SD2103050,89.13,91.31,
SDRW2100003099,SDRW2100003099.1.1.150,근데 니 네가 예전에 비하면 그래도,근데 니 너가 예전에 비하면 그래도,SD2103050,418.26413,421.07496,
SDRW2100003103,SDRW2100003103.1.1.66,실제적인 그 실제의 그 모습을 잊지 못해서 항상 보고 싶어 하는 사람들도 있기 때문에 어느 정도 수요가 있다고 뉴스에서 말했거든.,실제적인 그 실제의 그 모습을 잊지 못해서 항상 보고 싶어 하는 사람들도 있기 때문에 어느 정도 수요가 있다고 뉴스에서 말했거든.,SD2103052,262.47001,269.13999,
SDRW2100003110,SDRW2100003110.1.1.92,막 전에는 뉴스에서 봤는데,막 전에는 뉴스에서 봤는데,SD2103056,338.36899,341.55899,
SDRW2100003110,SDRW2100003110.1.1.94,학 학생들도 봐 가지고 뉴스에서 봤거든.,-학- 학생들도 봐 가지고 뉴스에서 봤거든.,SD2103056,348.58996,352.28899,
SDRW2100003112,SDRW2100003112.1.1.156,뉴스에 다 나온다고,뉴스에 다 나온다고,SD2103056,537.11901,538.86897,
SDRW2100003112,SDRW2100003112.1.1.190,게임하고 니 말대로 그렇게 해서 엄마껄로,게임하고 니 말대로 그렇게 해서 엄마껄로,SD2103055,649.533,652.74,
SDRW2100003112,SDRW2100003112.1.1.247,근데 생각해 보니까 요즘에 거 뉴스도 거짓 뉴스 이런 것,근데 생각해 보니까 요즘에 -거- 뉴스도 거짓 뉴스 이런 것,SD2103055,842.31897,847.39667,
SDRW2100003112,SDRW2100003112.1.1.249,니 말이 좀 맞는 거 같기도 해. 물론,니 말이 쫌 맞는 거 같기도 해. 물론,SD2103055,849.2,852.27,
SDRW2100003112,SDRW2100003112.1.1.253,니 말 듣다 보니까 좀 일리 있는 거 같기도 해.,니 말 듣다 보니까 좀 일리 있는 거 같기도 해.,SD2103055,859.73,862.88,
SDRW2100003115,SDRW2100003115.1.1.194,엄마는 뉴스 나올 때가 최고 마음이 아퍼.,엄마는 뉴스 나올 때가 최고 마음이 아퍼.,SD2103058,468.46172,471.17899,
SDRW2100003115,SDRW2100003115.1.1.195,뉴스 프로그램보다는,뉴스 프로그램보다는,SD2103057,473.47901,475.98901,
SDRW2100003115,SDRW2100003115.1.1.200,알려면은 뉴스를 봐야 되는데.,알라면은 뉴스를 봐야 되는데.,SD2103058,486.867,489.14899,
SDRW2100003115,SDRW2100003115.1.1.201,요새는 뉴스를,요새는 뉴스를,SD2103057,491.20901,493.093,
SDRW2100003115,SDRW2100003115.1.1.207,외할아버지나 뉴스로 봤지.,외할아버지나 뉴스로 봤지.,SD2103058,508.147,510.15901,
SDRW2100003115,SDRW2100003115.1.1.214,핸드폰으로 뉴스를 보고,핸드폰으로 뉴스를 보고,SD2103057,523.909,525.88901,
SDRW2100003131,SDRW2100003131.1.1.236,너는 뉴스를 자주 보는 편이야?,너는 뉴스를 자주 보는 편이야?,SD2103066,612.73899,615.66901,
SDRW2100003131,SDRW2100003131.1.1.237,나 뉴스 자주 보는 편인데 요즘엔 잘 안 봐.,나 뉴스 자주 보는 편인데 요즘엔 잘 안 봐.,SD2103065,616.25897,619.36898,
SDRW2100003131,SDRW2100003131.1.1.240,이렇게 맨날 티브이에 뉴스를,이케 맨날 티비에 뉴스를,SD2103066,625.44899,627.837,
SDRW2100003131,SDRW2100003131.1.1.245,뉴스에는,뉴스에는,SD2103065,637.54902,639.121,
SDRW2100003131,SDRW2100003131.1.1.248,알기에는 뉴스만 한 게 없는 거 같아.,알기에는 뉴스만 한 게 없는 거 같아.,SD2103065,645.113,647.70897,
SDRW2100003132,SDRW2100003132.1.1.7,되게 많은 뉴스 이런 걸 보면서,되게 많은 뉴스 이런 걸 보면서,SD2103066,24.11,27.38,
SDRW2100003138,SDRW2100003138.1.1.57,괜히 나이도 어린 녀석이,괜히 나이도 어린 녀석이,SD2103070,148.848,152.42,
SDRW2100003139,SDRW2100003139.1.1.257,어 뉴스 기사 본 거 같아.,어 뉴스 기사 본 거 같애.,SD2103070,641.69902,643.399,
SDRW2100003145,SDRW2100003145.1.1.253,어 유럽 하늘길이 열렸다고 어저께 뉴스에서 들었어요,어~ 유럽 하늘길이 열렸다고 어저께 뉴스에서 들었어요,SD2103074,573.41,577.16186,
SDRW2100003146,SDRW2100003146.1.1.96,엊그제 뉴스 들으니까 어저께인가 그저께 뉴스 들으니까,엊그제 뉴스 들으니까 어저께인가 그저께 뉴스 들으니까,SD2103074,231.73497,235.73999,
